Crop_Year,Area,Rainfall,Pesticide,Ph,Price
1997,73814,2051.4,22882.34,5.5,2490.092421
1997,6637,2051.4,2057.47,5.5,2491.092421
1997,796,2051.4,246.76,5.5,2492.092421
1997,19656,2051.4,6093.36,5.5,2493.092421
1997,1739,2051.4,539.09,5.5,2494.092421
1997,13587,2051.4,4211.97,5.5,2495.092421
1997,2979,2051.4,923.49,5.5,2496.092421
1997,94520,2051.4,29301.2,5.5,2497.092421
1997,10098,2051.4,3130.38,5.5,2498.092421
1997,19216,2051.4,5956.96,5.5,2499.092421
1997,5915,2051.4,1833.65,5.5,2500.092421
1997,9914,2051.4,3073.34,5.5,2501.092421
1997,7832,2051.4,2427.92,5.5,2502.092421
1997,108297,2051.4,33572.07,5.5,2503.092421
1997,75259,2051.4,23330.29,5.5,2504.092421
1997,279292,2051.4,86580.52,5.5,2505.092421
1997,607358,2051.4,188280.98,5.5,2506.092421
1997,174974,2051.4,54241.94,5.5,2507.092421
1997,1743321,2051.4,540429.51,5.5,2508.092421
1997,15765,2051.4,4887.15,5.5,2509.092421
1997,10490,2051.4,3251.9,5.5,2510.092421
1997,31318,2051.4,9708.58,5.5,2511.092421
1997,9380,2051.4,2907.8,5.5,2512.092421
1997,2465,2051.4,764.15,5.5,2513.092421
1997,433,2051.4,134.23,5.5,2514.092421
1997,10071,2051.4,3122.01,5.5,2515.092421
1997,84698,2051.4,26256.38,5.5,2516.092421
1997,93100,1266.7,28861,5.5,2517.092421
1997,421810,1266.7,130761.1,5.5,2518.092421
1997,301149,1266.7,93356.19,5.5,2519.092421
1997,820,1266.7,254.2,5.5,2520.092421
1997,3825,1266.7,1185.75,5.5,2521.092421
1997,21230,1266.7,6581.3,5.5,2522.092421
1997,17317,1266.7,5368.27,5.5,2523.092421
1997,186579,1266.7,57839.49,5.5,2524.092421
1997,4565,1266.7,1415.15,5.5,2525.092421
1997,5061,1266.7,1568.91,5.5,2526.092421
1997,3619,1266.7,1121.89,5.5,2527.092421
1997,847666,1266.7,262776.46,5.5,2528.092421
1997,192416,1266.7,59648.96,5.5,2529.092421
1997,178872,1266.7,55450.32,5.5,2530.092421
1997,163173,1266.7,50583.63,5.5,2531.092421
1997,389690,1266.7,120803.9,5.5,2532.092421
1997,150112,1266.7,465363.32,5.5,2533.092421
1997,6137,1266.7,1902.47,5.5,2534.092421
1997,502797,1266.7,155867.07,5.5,2535.092421
1997,48844,1266.7,15141.64,5.5,2536.092421
1997,9730,1266.7,3016.3,5.5,2537.092421
1997,897921,1266.7,278355.51,5.5,2538.092421
1997,27104,1266.7,8402.24,5.5,2539.092421
1997,13521,1266.7,4191.51,5.5,2540.092421
1997,103153,1266.7,319774.3,5.5,2541.092421
1997,53889,1266.7,16705.59,5.5,2542.092421
1997,268044,1266.7,83093.64,5.5,2543.092421
1997,308857,1266.7,95745.67,5.5,2544.092421
1997,4342,1266.7,1346.02,5.5,2545.092421
1997,250698,1266.7,77716.38,5.5,2546.092421
1997,76145,3252.4,23604.95,5.5,2547.092421
1997,173855,3252.4,53895.05,5.5,2548.092421
1997,96073,3252.4,29782.63,5.5,2549.092421
1997,884344,3252.4,274146.64,5.5,2550.092421
1997,132875,3252.4,41191.25,5.5,2551.092421
1997,9569,3818.2,2966.39,5.5,2552.092421
1997,865,3818.2,268.15,5.5,2553.092421
1997,5239,3818.2,1624.09,5.5,2554.092421
1997,30,3818.2,9.3,5.5,2555.092421
1997,7544,3818.2,2338.64,5.5,2556.092421
1997,1766,3818.2,547.46,5.5,2557.092421
1997,7357,3818.2,2280.67,5.5,2558.092421
1997,443,3818.2,137.33,5.5,2559.092421
